"espece";"nom";"nomscientific";"indicateur";"specialisation"
"EMBCAE";"Bruant cendrillard";"Emberiza caesia";FALSE;"non"
"EMBCIA";"Bruant fou";"Emberiza cia";FALSE;"non"
"EMBCIR";"Bruant zizi";"Emberiza cirlus";TRUE;"milieux agricoles"
"EMBCIT";"Bruant jaune";"Emberiza citrinella";TRUE;"milieux agricoles"
"EMBHOR";"Bruant ortolan";"Emberiza hortulana";FALSE;"non"
"EMBLEU";"Bruant à calotte blanche";"Emberiza leucocephalos";FALSE;"non"
"EMBMEL";"Bruant mélanocéphale";"Emberiza melanocephala";FALSE;"non"
"EMBSCH";"Bruant des roseaux";"Emberiza schoeniclus";FALSE;"non"
"EREALP";"Alouette hausse-col";"Eremophila alpestris";FALSE;"non"
"ERIRUB";"Rougegorge familier";"Erithacus rubecula";TRUE;"milieux forestiers"
"EUOMAL";"Capucin bec-de-plomb";"Euodice malabarica";FALSE;"non"
"FALCOL";"Faucon émerillon";"Falco columbarius";FALSE;"non"
"FALNAU";"Faucon crécerellette";"Falco naumanni";FALSE;"non"
"FALPER";"Faucon pèlerin";"Falco peregrinus";FALSE;"non"
"FALSUB";"Faucon hobereau";"Falco subbuteo";FALSE;"non"
"FALTIN";"Faucon crécerelle";"Falco tinnunculus";TRUE;"milieux agricoles"
"FALVES";"Faucon kobez";"Falco vespertinus";FALSE;"non"
"FICALB";"Gobemouche à collier";"Ficedula albicollis";FALSE;"non"
"FICHYP";"Gobemouche noir";"Ficedula hypoleuca";FALSE;"non"
"FICPAR";"Gobemouche nain";"Ficedula parva";FALSE;"non"
"FRAARC";"Macareux moine";"Fratercula arctica";FALSE;"non"
"FRICOE";"Pinson des arbres";"Fringilla coelebs";TRUE;"generaliste"
"FRIMON";"Pinson du Nord";"Fringilla montifringilla";FALSE;"non"
"FULATR";"Foulque macroule";"Fulica atra";FALSE;"non"
"FULCRI";"Foulque caronculée";"Fulica cristata";FALSE;"non"
"GALCHL";"Gallinule poule-d'eau";"Gallinula chloropus";FALSE;"non"
"GALCRI";"Cochevis huppé";"Galerida cristata";TRUE;"milieux agricoles"
"GALGAL";"Bécassine des marais";"Gallinago gallinago";FALSE;"non"
"GALTHE";"Cochevis de Thékla";"Galerida theklae";FALSE;"non"
"GARGLA";"Geai des chênes";"Garrulus glandarius";TRUE;"generaliste"
"GRUGRU";"Grue cendrée";"Grus grus";FALSE;"non"
"GYPFUL";"Vautour fauve";"Gyps fulvus";FALSE;"non"
"HAEOST";"Huîtrier pie";"Haematopus ostralegus";FALSE;"non"
"HIEFAS";"Aigle de Bonelli";"Aquila fasciata";FALSE;"non"
"HIEPEN";"Aigle botté";"Hieraaetus pennatus";FALSE;"non"
"HIMHIM";"Echasse blanche";"Himantopus himantopus";FALSE;"non"
"HIPICT";"Hypolaïs ictérine";"Hippolais icterina";FALSE;"non"
"HIPPAL";"Hypolaïs pâle";"Iduna pallida";FALSE;"non"
"HIPPOL";"Hypolaïs polyglotte";"Hippolais polyglotta";TRUE;"generaliste"
"HIRDAU";"Hirondelle rousseline";"Cecropis daurica";FALSE;"non"
"HIRRUS";"Hirondelle rustique";"Hirundo rustica";TRUE;"milieux bâtis"
"IXOMIN";"Blongios nain";"Ixobrychus minutus";FALSE;"non"
"JYNTOR";"Torcol fourmilier";"Jynx torquilla";FALSE;"non"
"LAGLAG";"Lagopède des saules";"Lagopus lagopus";FALSE;"non"
"LAGMUT";"Lagopède alpin";"Lagopus muta";FALSE;"non"
"LANCOL";"Pie-grièche écorcheur";"Lanius collurio";TRUE;"milieux agricoles"
"LANEXC";"Pie-grièche grise";"Lanius excubitor";FALSE;"non"
"LANMER";"Pie-grièche méridionale";"Lanius meridionalis";FALSE;"non"
"LANMIN";"Pie-grièche à poitrine rose";"Lanius minor";FALSE;"non"
"LANSEN";"Pie-grièche à tête rousse";"Lanius senator";FALSE;"non"
"LARARG";"Goéland argenté";"Larus argentatus";FALSE;"non"
"LARCAC";"Goéland pontique";"Larus cachinnans";FALSE;"non"
"LARCAN";"Goéland cendré";"Larus canus";FALSE;"non"
"LARFUS";"Goéland brun";"Larus fuscus";FALSE;"non"
"LARGEN";"Goéland railleur";"Chroicocephalus genei";FALSE;"non"
"LARMAR";"Goéland marin";"Larus marinus";FALSE;"non"
"LARMEL";"Mouette mélanocéphale";"Ichthyaetus melanocephalus";FALSE;"non"
"LARMIC";"Goéland leucophée";"Larus michahellis";FALSE;"non"
"LARRID";"Mouette rieuse";"Chroicocephalus ridibundus";FALSE;"non"
"LEILUT";"Leïothrix jaune";"Leiothrix lutea";FALSE;"non"
"LIMLAP";"Barge rousse";"Limosa lapponica";FALSE;"non"
"LIMLIM";"Barge à queue noire";"Limosa limosa";FALSE;"non"
"LOCFLU";"Locustelle fluviatile";"Locustella fluviatilis";FALSE;"non"
"LOCLUS";"Locustelle luscinioïde";"Locustella luscinioides";FALSE;"non"
"LOCNAE";"Locustelle tachetée";"Locustella naevia";FALSE;"non"
"LOXCUR";"Bec-croisé des sapins";"Loxia curvirostra";FALSE;"non"
"LOXLEU";"Bec-croisé bifascié";"Loxia leucoptera";FALSE;"non"
"LULARB";"Alouette lulu";"Lullula arborea";TRUE;"milieux agricoles"
"LUSLUS";"Rossignol progné";"Luscinia luscinia";FALSE;"non"
"LUSMEG";"Rossignol philomèle";"Luscinia megarhynchos";TRUE;"generaliste"
"LUSSVE";"Gorgebleue à miroir";"Luscinia svecica";FALSE;"non"
"MARANG";"Sarcelle marbrée";"Marmaronetta angustirostris";FALSE;"non"
"MELCAL";"Alouette calandre";"Melanocorypha calandra";FALSE;"non"
"MERALB";"Harle piette";"Mergellus albellus";FALSE;"non"
"MERAPI";"Guêpier d'Europe";"Merops apiaster";FALSE;"non"
"MERMER";"Harle bièvre";"Mergus merganser";FALSE;"non"
"MILCAL";"Bruant proyer";"Emberiza calandra";TRUE;"milieux agricoles"
"MILMIG";"Milan noir";"Milvus migrans";FALSE;"non"
"MILMIL";"Milan royal";"Milvus milvus";FALSE;"non"
"MONNIV";"Niverolle alpine";"Montifringilla nivalis";FALSE;"non"
"MONSAX";"Monticole de roche";"Monticola saxatilis";FALSE;"non"
"MONSOL";"Monticole bleu";"Monticola solitarius";FALSE;"non"
"MOTALB";"Bergeronnette grise";"Motacilla alba";FALSE;"non"
"MOTCIN";"Bergeronnette des ruisseaux";"Motacilla cinerea";FALSE;"non"
"MOTFLA";"Bergeronnette printanière";"Motacilla flava";TRUE;"milieux agricoles"
"MUSSTR";"Gobemouche gris";"Muscicapa striata";FALSE;"non"
"NEOPER";"Vautour percnoptère";"Neophron percnopterus";FALSE;"non"
"NETRUF";"Nette rousse";"Netta rufina";FALSE;"non"
"NUCCAR";"Cassenoix moucheté";"Nucifraga caryocatactes";FALSE;"non"
"NUMARQ";"Courlis cendré";"Numenius arquata";FALSE;"non"
"NUMPHA";"Courlis corlieu";"Numenius phaeopus";FALSE;"non"
"NYCNYC";"Bihoreau gris";"Nycticorax nycticorax";FALSE;"non"
"OCELEU";"Océanite culblanc";"Oceanodroma leucorhoa";FALSE;"non"
"OENHIS";"Traquet oreillard";"Oenanthe hispanica";FALSE;"non"
"OENOEN";"Traquet motteux";"Oenanthe oenanthe";TRUE;"milieux agricoles"
"OENPLE";"Traquet pie";"Oenanthe pleschanka";FALSE;"non"
"ORIORI";"Loriot d'Europe";"Oriolus oriolus";TRUE;"generaliste"
"OTUSCO";"Petit-duc scops";"Otus scops";FALSE;"non"
"PANBIA";"Panure à moustaches";"Panurus biarmicus";FALSE;"non"
"PANHAL";"Balbuzard pêcheur";"Pandion haliaetus";FALSE;"non"
"PARATE";"Mésange noire";"Periparus ater";TRUE;"milieux forestiers"
"PARCAE";"Mésange bleue";"Cyanistes caeruleus";TRUE;"generaliste"
"PARCRI";"Mésange huppée";"Lophophanes cristatus";TRUE;"milieux forestiers"
"PARCYA";"Mésange azurée";"Parus cyanus";FALSE;"non"
"PARLUG";"Mésange lugubre";"Poecile lugubris";FALSE;"non"
"PARMAJ";"Mésange charbonnière";"Parus major";TRUE;"generaliste"
"PARMON";"Mésange boréale";"Parus montanus";FALSE;"non"
"PARPAL";"Mésange nonnette";"Poecile palustris";TRUE;"milieux forestiers"
"PASDOM";"Moineau domestique";"Passer domesticus";TRUE;"milieux bâtis"
"PASHIS";"Moineau espagnol";"Passer hispaniolensis";FALSE;"non"
"PASITA";"Moineau cisalpin";"Passer italiae";FALSE;"non"
"PASMON";"Moineau friquet";"Passer montanus";TRUE;"milieux bâtis"
"PERAPI";"Bondrée apivore";"Pernis apivorus";FALSE;"non"
"PERPER";"Perdrix grise";"Perdix perdix";TRUE;"milieux agricoles"
"PETPET";"Moineau soulcie";"Petronia petronia";FALSE;"non"
"PHACAR";"Grand Cormoran";"Phalacrocorax carbo";FALSE;"non"
"PHACOL";"Faisan de Colchide";"Phasianus colchicus";FALSE;"non"
"PHIPUG";"Combattant varié";"Calidris pugnax";FALSE;"non"
"PHOCHI";"Flamant du Chili";"Phoenicopterus chilensis";FALSE;"non"
"PHOOCH";"Rougequeue noir";"Phoenicurus ochruros";TRUE;"milieux bâtis"
"PHOPHO";"Rougequeue à front blanc";"Phoenicurus phoenicurus";TRUE;"milieux bâtis"
"PHORUB";"Flamant rose";"Phoenicopterus roseus";FALSE;"non"
"PHYBON";"Pouillot de Bonelli";"Phylloscopus bonelli";TRUE;"milieux forestiers"
"PHYBOR";"Pouillot boréal";"Phylloscopus borealis";FALSE;"non"
"PHYCOL";"Pouillot véloce";"Phylloscopus collybita";TRUE;"milieux forestiers"
"PHYSIB";"Pouillot siffleur";"Phylloscopus sibilatrix";TRUE;"milieux forestiers"
"PHYTRO";"Pouillot fitis";"Phylloscopus trochilus";TRUE;"milieux forestiers"
"PICCAN";"Pic cendré";"Picus canus";TRUE;"milieux forestiers"
"PICPIC";"Pie bavarde";"Pica pica";TRUE;"milieux bâtis"
"PICTRI";"Pic tridactyle";"Picoides tridactylus";FALSE;"non"
"PICVIR";"Pic vert";"Picus viridis";TRUE;"generaliste"
"PLALEU";"Spatule blanche";"Platalea leucorodia";FALSE;"non"
"PLEFAL";"Ibis falcinelle";"Plegadis falcinellus";FALSE;"non"
"PLUAPR";"Pluvier doré";"Pluvialis apricaria";FALSE;"non"
"PLUSQU";"Pluvier argenté";"Pluvialis squatarola";FALSE;"non"
"PODCRI";"Grèbe huppé";"Podiceps cristatus";FALSE;"non"
"PORPOR";"Marouette ponctuée";"Porzana porzana";FALSE;"non"
"PRUCOL";"Accenteur alpin";"Prunella collaris";FALSE;"non"
"PRUMOD";"Accenteur mouchet";"Prunella modularis";TRUE;"generaliste"
"PSIKRA";"Perruche à collier";"Psittacula krameri";FALSE;"non"
"PTYRUP";"Hirondelle de rochers";"Ptyonoprogne rupestris";FALSE;"non"
"PYRGRA";"Chocard à bec jaune";"Pyrrhocorax graculus";FALSE;"non"
"PYRPYR";"Bouvreuil pivoine";"Pyrrhula pyrrhula";TRUE;"milieux forestiers"
"PYRRAX";"Crave à bec rouge";"Pyrrhocorax pyrrhocorax";FALSE;"non"
"RALAQU";"Râle d'eau";"Rallus aquaticus";FALSE;"non"
"RECAVO";"Avocette élégante";"Recurvirostra avosetta";FALSE;"non"
"REGIGN";"Roitelet à triple bandeau";"Regulus ignicapilla";TRUE;"milieux forestiers"
"REGREG";"Roitelet huppé";"Regulus regulus";TRUE;"milieux forestiers"
"RIPRIP";"Hirondelle de rivage";"Riparia riparia";FALSE;"non"
"SAXRUB";"Tarier des prés";"Saxicola rubetra";TRUE;"milieux agricoles"
"SAXTOR";"Tarier pâtre";"Saxicola rubicola";TRUE;"milieux agricoles"
"SCORUS";"Bécasse des bois";"Scolopax rusticola";FALSE;"non"
"SERCIT";"Venturon montagnard";"Serinus citrinella";FALSE;"non"
"SERCOR";"Venturon corse";"Serinus corsicanus";FALSE;"non"
"SERSER";"Serin cini";"Serinus serinus";TRUE;"milieux bâtis"
"SITEUR";"Sittelle torchepot";"Sitta europaea";TRUE;"milieux forestiers"
"SITWHI";"Sittelle corse";"Sitta whiteheadi";FALSE;"non"
"STEALB";"Sterne naine";"Sternula albifrons";FALSE;"non"
"STEHIR";"Sterne pierregarin";"Sterna hirundo";FALSE;"non"
"STESAN";"Sterne caugek";"Thalasseus sandvicensis";FALSE;"non"
"STRALU";"Chouette hulotte";"Strix aluco";FALSE;"non"
"STRDEC";"Tourterelle turque";"Streptopelia decaocto";TRUE;"milieux bâtis"
"STRORI";"Tourterelle orientale";"Streptopelia orientalis";FALSE;"non"
"STRSEN";"Tourterelle maillée";"Streptopelia senegalensis";FALSE;"non"
"STRTUR";"Tourterelle des bois";"Streptopelia turtur";FALSE;"non"
"STUROS";"Étourneau roselin";"Sturnus roseus";FALSE;"non"
"STUUNI";"Étourneau unicolore";"Sturnus unicolor";FALSE;"non"
"STUVUL";"Étourneau sansonnet";"Sturnus vulgaris";FALSE;"non"
"SURULU";"Chouette épervière";"Surnia ulula";FALSE;"non"
"SYLATR";"Fauvette à tête noire";"Sylvia atricapilla";TRUE;"generaliste"
"SYLBOR";"Fauvette des jardins";"Sylvia borin";FALSE;"non"
"SYLCAN";"Fauvette passerinette";"Sylvia cantillans";FALSE;"non"
"SYLCOM";"Fauvette grisette";"Sylvia communis";TRUE;"milieux agricoles"
"SYLCON";"Fauvette à lunettes";"Sylvia conspicillata";FALSE;"non"
"SYLCUR";"Fauvette babillarde";"Sylvia curruca";FALSE;"non"
"SYLHOR";"Fauvette orphée";"Sylvia hortensis";FALSE;"non"
"SYLMEL";"Fauvette mélanocéphale";"Sylvia melanocephala";TRUE;"milieux forestiers"
"SYLNIS";"Fauvette épervière";"Sylvia nisoria";FALSE;"non"
"SYLSAR";"Fauvette sarde";"Sylvia sarda";FALSE;"non"
"SYLUND";"Fauvette pitchou";"Sylvia undata";FALSE;"non"
"SYRREE";"Faisan vénéré";"Syrmaticus reevesii";FALSE;"non"
"TACRUF";"Grèbe castagneux";"Tachybaptus ruficollis";FALSE;"non"
"TADFER";"Tadorne casarca";"Tadorna ferruginea";FALSE;"non"
"TADTAD";"Tadorne de Belon";"Tadorna tadorna";FALSE;"non"
"TETRAX";"Outarde canepetière";"Tetrax tetrax";FALSE;"non"
"TETRIX";"Tétras lyre";"Tetrao tetrix";FALSE;"non"
"TETURO";"Grand Tétras";"Tetrao urogallus";FALSE;"non"
"THRAET";"Ibis sacré";"Threskiornis aethiopicus";FALSE;"non"
"TICMUR";"Tichodrome échelette";"Tichodroma muraria";FALSE;"non"
"TRIERY";"Chevalier arlequin";"Tringa erythropus";FALSE;"non"
"TRIGLA";"Chevalier sylvain";"Tringa glareola";FALSE;"non"
"TRINEB";"Chevalier aboyeur";"Tringa nebularia";FALSE;"non"
"TRIOCH";"Chevalier culblanc";"Tringa ochropus";FALSE;"non"
"TRITOT";"Chevalier gambette";"Tringa totanus";FALSE;"non"
"TROTRO";"Troglodyte mignon";"Troglodytes troglodytes";TRUE;"milieux forestiers"
"TURILI";"Grive mauvis";"Turdus iliacus";FALSE;"non"
"TURMER";"Merle noir";"Turdus merula";TRUE;"generaliste"
"TURPHI";"Grive musicienne";"Turdus philomelos";TRUE;"milieux forestiers"
"TURPIL";"Grive litorne";"Turdus pilaris";FALSE;"non"
"TURRUF";"Grive à gorge noire ou rousse";"Turdus ruficollis";FALSE;"non"
"TURTOR";"Merle à plastron";"Turdus torquatus";FALSE;"non"
"TURVIS";"Grive draine";"Turdus viscivorus";TRUE;"milieux forestiers"
"TYTALB";"Effraie des clochers";"Tyto alba";FALSE;"non"
"UPUEPO";"Huppe fasciée";"Upupa epops";TRUE;"milieux agricoles"
"VANVAN";"Vanneau huppé";"Vanellus vanellus";TRUE;"milieux agricoles"
"ZOODAU";"Grive dorée";"Zoothera dauma";FALSE;"non"
