"pk_species";"indicator";"habitat_specialisation_f";"habitat_specialisation";"european_fbi";"french_fbi";"montane_lehikoinen"
"MUSSTR";f;"non";"";f;f;f
"PANBIA";f;"non";"";f;f;f
"CORRAX";f;"non";"";f;f;f
"FICALB";f;"non";"";f;f;f
"AEGCAU";f;"non";"";f;f;f
"FICHYP";f;"non";"";f;f;f
"FICPAR";f;"non";"";f;f;f
"GARGLA";t;"generaliste";"generalist";f;f;f
"LANCOL";t;"milieux agricoles";"farmland";t;t;f
"LANEXC";f;"non";"";f;f;f
"LANMIN";f;"non";"";t;f;f
"LANSEN";f;"non";"";t;f;f
"LEILUT";f;"non";"";f;f;f
"NUCCAR";f;"non";"";f;f;f
"PARATE";t;"milieux forestiers";"woodland";f;f;f
"PARCAE";t;"generaliste";"generalist";f;f;f
"PARCRI";t;"milieux forestiers";"woodland";f;f;f
"PARCYA";f;"non";"";f;f;f
"PARLUG";f;"non";"";f;f;f
"PARMON";f;"non";"";f;f;f
"PARPAL";t;"milieux forestiers";"woodland";f;f;f
"PICPIC";t;"milieux bâtis";"urban";f;f;f
"PYRGRA";f;"non";"";f;f;t
"PYRRAX";f;"non";"";f;f;t
"REGIGN";t;"milieux forestiers";"woodland";f;f;f
"SITEUR";t;"milieux forestiers";"woodland";f;f;f
"SITWHI";f;"non";"";f;f;f
"TICMUR";f;"non";"";f;f;t
"CERFAM";t;"milieux forestiers";"woodland";f;f;f
"CERBRA";t;"milieux forestiers";"woodland";f;f;f
"CORCOR";t;"generaliste";"generalist";f;f;f
"CORMON";t;"milieux bâtis";"urban";f;f;f
"VIROLI";f;"non";"";f;f;f
"CARFLAFLA";f;"non";"";f;f;f
"CARFLAROS";f;"non";"";f;f;f
"CARFLACAB";f;"non";"";f;f;t
"CARHORHOR";f;"non";"";f;f;f
"CARHOREXI";f;"non";"";f;f;f
"LOXSCO";f;"non";"";f;f;f
"LOXPYT";f;"non";"";f;f;f
"CARERY";f;"non";"";f;f;f
"PINENU";f;"non";"";f;f;f
"PYRPYRPYR";t;"milieux forestiers";"woodland";f;f;f
"PARAME";f;"non";"";f;f;f
"DENSTR";f;"non";"";f;f;f
"SETRUT";f;"non";"";f;f;f
"SEINOV";f;"non";"";f;f;f
"CALLAP";f;"non";"";f;f;f
"PLENIV";f;"non";"";f;f;f
"EMBPUS";f;"non";"";f;f;f
"STUROS";f;"non";"";f;f;f
"CARCHL";t;"milieux bâtis";"urban";f;f;f
"FRIMON";f;"non";"";f;f;f
"LOXCUR";f;"non";"";f;f;f
"STUUNI";f;"non";"";t;f;f
"CARFLA";f;"non";"";f;f;t
"CARRIS";f;"non";"";f;f;f
"CARSPI";f;"non";"";f;f;f
"COCCOC";t;"milieux forestiers";"woodland";f;f;f
"EMBCAE";f;"non";"";f;f;f
"EMBCIA";f;"non";"";f;f;t
"EMBCIR";t;"milieux agricoles";"farmland";t;t;f
"EMBCIT";t;"milieux agricoles";"farmland";t;t;f
"EMBHOR";f;"non";"";t;t;f
"EMBLEU";f;"non";"";f;f;f
"EUOMAL";f;"non";"";f;f;f
"FRICOE";t;"generaliste";"generalist";f;f;f
"LOXLEU";f;"non";"";f;f;f
"MONNIV";f;"non";"";f;f;t
"PASDOM";t;"milieux bâtis";"urban";f;f;f
"PASHIS";f;"non";"";f;f;f
"PASMON";t;"milieux bâtis";"urban";t;f;f
"PETPET";f;"non";"";t;f;f
"PYRPYR";t;"milieux forestiers";"woodland";f;f;f
"SERCIT";f;"non";"";f;f;t
"SERSER";t;"milieux bâtis";"urban";t;f;f
"STUVUL";f;"non";"";t;f;f
"CARHOR";f;"non";"";f;f;f
"ARDMEL";f;"non";"";f;f;f
"AQUNIP";f;"non";"";f;f;f
"CAPRUF";f;"non";"";f;f;f
"CARCAN";t;"milieux agricoles";"farmland";t;t;t
"AGAROS";f;"non";"";f;f;f
"EMBMEL";f;"non";"";t;f;f
"CARCAR";t;"milieux bâtis";"urban";f;f;f
"EMBSCH";f;"non";"";f;f;f
"ALAARV";t;"milieux agricoles";"farmland";t;t;t
"ALERUF";t;"milieux agricoles";"farmland";t;t;f
"CHAALE";f;"non";"";f;f;f
"CORFRU";t;"milieux agricoles";"farmland";t;t;f
"CYGATR";f;"non";"";f;f;f
"HALALB";f;"non";"";f;f;f
"HIPPOL";t;"generaliste";"generalist";f;f;f
"LANMER";f;"non";"";f;f;f
"LIMLIM";f;"non";"";t;f;f
"ANTCAM";t;"milieux agricoles";"farmland";t;t;f
"ATHNOC";f;"non";"";f;f;f
"BUBIBI";f;"non";"";t;f;f
"OENHIS";f;"non";"";t;f;f
"PARMAJ";t;"generaliste";"generalist";f;f;f
"PHOCHI";f;"non";"";f;f;f
"PODCRI";f;"non";"";f;f;f
"RHOGIT";f;"non";"";f;f;f
"CYGCOL";f;"non";"";f;f;f
"LUSMEG";t;"generaliste";"generalist";f;f;f
"STRTUR";f;"non";"";t;f;f
"SYLCOM";t;"milieux agricoles";"farmland";t;t;f
"ACTHYP";f;"non";"";f;f;f
"AEGMON";f;"non";"";f;f;f
"BUROED";f;"non";"";t;f;f
"BUTBUT";t;"milieux agricoles";"farmland";f;t;f
"MILCAL";t;"milieux agricoles";"farmland";t;t;f
"EMBAUR";f;"non";"";f;f;f
