pk_species,euring,taxref,indicator,habitat_specialisation_f,habitat_specialisation,european_fbi,french_fbi,montane_lehikoinen,french_trim
PHYTRO,13120,4289,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
PHYTROACR,13122,4294,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PICCAN,8550,3601,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PICPIC,15490,4474,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
PICTRI,8980,3638,FALSE,,,FALSE,FALSE,FALSE,FALSE
PICVIR,8560,3603,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
PINENU,16990,4613,FALSE,,,FALSE,FALSE,FALSE,FALSE
PINSON,,,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLALEU,1440,2530,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLEFAL,1360,2522,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLENIV,18500,4649,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLUAPR,4850,3161,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLUAPRALT,4852,3164,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLUAPRAPR,4851,,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLUDOM,4840,3158,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLUFUL,4842,3170,FALSE,,,FALSE,FALSE,FALSE,FALSE
PLUSQU,4860,3165,FALSE,,,FALSE,FALSE,FALSE,FALSE
PODAUR,110,971,FALSE,,,FALSE,FALSE,FALSE,FALSE
PODCRI,90,965,FALSE,,,FALSE,FALSE,FALSE,TRUE
PODGRI,100,968,FALSE,,,FALSE,FALSE,FALSE,FALSE
PODNIG,120,974,FALSE,,,FALSE,FALSE,FALSE,FALSE
PODPOD,60,982,FALSE,,,FALSE,FALSE,FALSE,FALSE
POLSTE,2090,199307,FALSE,,,FALSE,FALSE,FALSE,FALSE
PORALL,4250,3065,FALSE,,,FALSE,FALSE,FALSE,FALSE
PORCAR,4090,3049,FALSE,,,FALSE,FALSE,FALSE,FALSE
PORPAR,4100,836245,FALSE,,,FALSE,FALSE,FALSE,FALSE
PORPOR,4080,3039,FALSE,,,FALSE,FALSE,FALSE,FALSE
PORPUS,4110,836246,FALSE,,,FALSE,FALSE,FALSE,FALSE
PORRIO,4270,3067,FALSE,,,FALSE,FALSE,FALSE,FALSE
PRUCOL,10940,3984,FALSE,,,FALSE,FALSE,TRUE,FALSE
PRUMOD,10840,3978,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
PSIKRA,7120,3448,FALSE,,,FALSE,FALSE,FALSE,FALSE
PTEALC,6620,3408,FALSE,,,FALSE,FALSE,FALSE,FALSE
PTEORI,6610,,FALSE,,,FALSE,FALSE,FALSE,FALSE
PTYRUP,9910,3692,FALSE,,,FALSE,FALSE,TRUE,TRUE
PUFASS,480,1020,FALSE,,,FALSE,FALSE,FALSE,FALSE
PUFGRA,400,790987,FALSE,,,FALSE,FALSE,FALSE,FALSE
PUFGRI,430,1024,FALSE,,,FALSE,FALSE,FALSE,FALSE
PUFPUF,460,1027,FALSE,,,FALSE,FALSE,FALSE,FALSE
PUFYEL,462,1031,FALSE,,,FALSE,FALSE,FALSE,FALSE
PYRGRA,15580,4485,FALSE,,,FALSE,FALSE,TRUE,FALSE
PYRPYR,17100,4619,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
PYRPYREUR,17102,4623,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PYRPYRPYR,17101,4621,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PYRRAX,15590,4488,FALSE,,,FALSE,FALSE,TRUE,FALSE
RALAQU,4070,3036,FALSE,,,FALSE,FALSE,FALSE,FALSE
RAPACE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE
RECAVO,4560,3116,FALSE,,,FALSE,FALSE,FALSE,FALSE
REGIGN,13150,459638,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
REGREG,13140,4308,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
REMPEN,14900,3798,FALSE,,,FALSE,FALSE,FALSE,FALSE
RHOGIT,20280,2405,FALSE,,,FALSE,FALSE,FALSE,FALSE
RHOROS,6010,3314,FALSE,,,FALSE,FALSE,FALSE,FALSE
RIPRIP,9810,3688,FALSE,,,FALSE,FALSE,FALSE,FALSE
RISTRI,6020,3318,FALSE,,,FALSE,FALSE,FALSE,FALSE
ROSBEN,4490,,FALSE,,,FALSE,FALSE,FALSE,FALSE
SAXRUB,11370,4049,TRUE,milieux agricoles,farmland,TRUE,TRUE,TRUE,TRUE
SAXTOR,11390,199425,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
SAXTORMAU,11394,458695,FALSE,,,FALSE,FALSE,FALSE,FALSE
SCORUS,5290,2559,FALSE,,,FALSE,FALSE,FALSE,FALSE
SEINOV,17570,626165,FALSE,,,FALSE,FALSE,FALSE,FALSE
SERCIT,16440,4574,FALSE,,,FALSE,FALSE,TRUE,TRUE
SERCOR,16442,534755,FALSE,,,FALSE,FALSE,FALSE,FALSE
SERSER,16400,4571,TRUE,milieux bâtis,urban,TRUE,FALSE,FALSE,TRUE
SETRUT,17550,4636,FALSE,,,FALSE,FALSE,FALSE,FALSE
SITEUR,14790,3774,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
SITNEU,14810,,FALSE,,,FALSE,FALSE,FALSE,FALSE
SITWHI,14700,3772,FALSE,,,FALSE,FALSE,FALSE,FALSE
SOMMOL,2060,2005,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEALB,6240,3352,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEANA,6220,532691,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEBEN,6090,3359,FALSE,,,FALSE,FALSE,FALSE,FALSE
STECAS,6060,3336,FALSE,,,FALSE,FALSE,FALSE,FALSE
STECUS,5670,3258,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEDOU,6140,3364,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEELE,6120,3356,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEFUS,6230,528760,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEHIR,6150,3343,FALSE,,,FALSE,FALSE,FALSE,FALSE
STELON,5680,3261,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEMAX,6070,528761,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEPAR,6160,3345,FALSE,,,FALSE,FALSE,FALSE,FALSE
STEPOM,5660,3255,FALSE,,,FALSE,FALSE,FALSE,FALSE
STESAN,6110,3362,FALSE,,,FALSE,FALSE,FALSE,FALSE
STESKU,5690,3263,FALSE,,,FALSE,FALSE,FALSE,FALSE
STRALU,7610,3518,FALSE,,,FALSE,FALSE,FALSE,FALSE
STRDEC,6840,3429,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
STRNEB,7660,,FALSE,,,FALSE,FALSE,FALSE,FALSE
STRORI,6890,3442,FALSE,,,FALSE,FALSE,FALSE,FALSE
STRROS,6830,3432,FALSE,,,FALSE,FALSE,FALSE,FALSE
STRSEN,6900,3435,FALSE,,,FALSE,FALSE,FALSE,FALSE
STRTUR,6870,3439,FALSE,,,TRUE,FALSE,FALSE,TRUE
STRURA,7650,,FALSE,,,FALSE,FALSE,FALSE,FALSE
STUROS,15840,4520,FALSE,,,FALSE,FALSE,FALSE,FALSE
STUUNI,15830,4518,FALSE,,,TRUE,FALSE,FALSE,FALSE
STUVUL,15820,4516,FALSE,,,TRUE,FALSE,FALSE,TRUE
SULBAS,710,2437,FALSE,,,FALSE,FALSE,FALSE,FALSE
SURULU,7500,3503,FALSE,,,FALSE,FALSE,FALSE,FALSE
SYLATR,12770,4257,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
SYLBOR,12760,4254,FALSE,,,FALSE,FALSE,FALSE,TRUE
SYLCAN,12650,4229,FALSE,,,FALSE,FALSE,FALSE,TRUE
SYLCOM,12750,4252,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
SYLCON,12640,4227,FALSE,,,FALSE,FALSE,FALSE,FALSE
SYLCUR,12740,4247,FALSE,,,FALSE,FALSE,TRUE,TRUE
SYLHOR,12720,4242,FALSE,,,FALSE,FALSE,FALSE,TRUE
SYLMEL,12670,4232,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
SYLNIS,12730,4245,FALSE,,,FALSE,FALSE,FALSE,FALSE
SYLRUE,12690,199469,FALSE,,,FALSE,FALSE,FALSE,FALSE
SYLSAR,12610,4219,FALSE,,,FALSE,FALSE,FALSE,FALSE
SYLUND,12620,4221,FALSE,,,FALSE,FALSE,FALSE,TRUE
SYRPAR,6630,3415,FALSE,,,FALSE,FALSE,FALSE,FALSE
SYRREE,3930,3000,FALSE,,,FALSE,FALSE,FALSE,FALSE
TACRUF,70,977,FALSE,,,FALSE,FALSE,FALSE,TRUE
TADFER,1710,2770,FALSE,,,FALSE,FALSE,FALSE,FALSE
TADTAD,1730,2767,FALSE,,,FALSE,FALSE,FALSE,TRUE
