"pk_species","ssi","ssi_old","ssi_2007","sti","sti_europe","thermal_niche_mean","thermal_niche_range","thermal_niche_max","thermal_niche_min","stri","exp_stri","trophic_vegetation","trophic_invertebrate","trophic_vertebrate"
"COLLIV",2.04337821319102,2.037227923,2.155253108,14.61102911,12.7922374501,15.5755,23.37,30.228,6.858,1.01,2.75,99,1,0
"COLOEN",0.88444773321958,1.290824901,0.951158168,14.18090441,12.4358174295,13.4029,11.2216,19.2938,8.07224,1.01,2.75,99,1,0
"COLPAL",0.343291070563398,0.299950565,0.210529364,14.15442355,12.2214205187,12.989,16.3147,21.5235,5.20879,1.01,2.75,99,1,0
"COLVIR",,,,,14.4898879546,,,,,,,,,
"CORCOR",0.409419836872356,0.281071517,0.214542861,14.09526988,12.1293990446,,,,,1.51,4.53,,,
"CORFRU",1.10376065056503,0.845527061,0.879634773,14.73525917,12.7340640684,13.4259,11.0666,18.7374,7.67086,1.63,5.1,46,42,11
"CORGAR",2.08737397543381,,,,14.8170350347,,,,,2,7.39,,,
"CORMON",0.847356305466733,0.959837609,0.834487404,14.88761156,12.9581704982,13.4372,13.6661,20.2449,6.57877,1.11,3.03,90,9,1
"CORRAX",1.40905187861382,1.228233078,1.030992173,14.09526988,11.7378412998,12.3658,20.2476,22.6104,2.36277,1.75,5.75,50,25,25
"COTCOT",1.39987593295685,1.523756467,1.354559492,15.58376702,13.6002736383,14.693,13.7205,22.1066,8.3861,1.22,3.39,78,22,0
"CRECRE",,,,,11.9688491073,,,,,,,,,
"CUCCAN",0.388081136840409,0.433479627,0.436097269,14.11705997,12.1394391784,12.714,16.1486,20.46,4.31148,2,7.39,0,100,0
"CYACYA",,,,,17.5572267179,,,,,,,,,
"CYGCOL",,,,,0.7404718829,,,,,,,,,
"CYGCYG",,,,,6.2650898152,,,,,,,,,
"CYGOLO",2.56696019876321,,,,12.1899516659,,,,,1,2.72,,,
"DELURB",1.30379552591236,1.266318333,1.555454122,14.30439163,12.3470551373,13.0523,17.0008,21.4263,4.42548,2,7.39,0,100,0
"DENLEU",,,,,11.4358853032,,,,,,,,,
"DENMAJ",0.635650946624738,0.637880148,0.579273083,14.0997858,12.1154284266,12.1895,15.2036,19.3768,4.17318,1.7,5.47,30,70,0
"DENMED",2.22311736955558,1.92,1.793936179,15.1838564,13.2448971066,14.6267,10.278,19.7291,9.4511,1.7,5.47,30,70,0
