SPECIES,ENGL_NAME,STI,EURING
Syrmaticus reevesii,Reeves's Pheasant,13.4773442672,
Turdus torquatus,Ring Ouzel,9.0307605949,11860
Locustella fluviatilis,River Warbler,12.3186544297,12370
Emberiza cia,Rock Bunting,14.4204045966,
Columba livia,Rock Dove,12.7922374501,06651
Alectoris graeca,Rock Partridge,13.1661273716,
Lagopus muta,Rock Ptarmigan,6.0246781137,03300
Petronia petronia,Rock Sparrow,15.8836993035,
Corvus frugilegus,Rook,12.7340640684,15630
Sturnus roseus,Rose-coloured Starling,15.8790875657,15840
Psittacula krameri,Rose-ringed Parakeet,13.7105682082,
Sterna dougallii,Roseate Tern,12.7248356913,
Buteo lagopus,Rough-legged Buzzard,5.2313430115,02900
Oxyura jamaicensis,Ruddy Duck,11.338185095,02250
Tadorna ferruginea,Ruddy Shelduck,15.5742096367,01710
Arenaria interpres,Ruddy Turnstone,7.7359447649,05610
Sylvia rueppelli,Rueppell's Warbler,19.1129971963,
Calidris pugnax,Ruff,7.9732949741,05170
Monticola saxatilis,Rufous-tailed Rock Thrush,13.7288003701,11620
Cercotrichas galactotes,Rufous-tailed Scrub-Robin,18.6085126056,
Oenanthe xanthoprymna,Rufous-tailed Wheatear,15.3013708514,
Emberiza rustica,Rustic Bunting,6.3354860208,18730
Falco cherrug,Saker Falcon,14.2761528607,
Riparia riparia,Sand Martin,11.9550761988,09810
Thalasseus sandvicensis,Sandwich Tern,12.309341223,06110
Sylvia melanocephala,Sardinian Warbler,16.9657737722,
Locustella luscinioides,Savi's Warbler,13.5908101527,12380
Loxia scotica,Scottish Crossbill,9.2372096482,
Acrocephalus schoenobaenus,Sedge Warbler,11.3913898283,12430
Ficedula semitorquata,Semicollared Flycatcher,15.2643106262,
Asio flammeus,Short-eared Owl,9.6200242401,07680
Circaetus gallicus,Short-toed Eagle,14.6544201337,02560
Certhia brachydactyla,Short-toed Treecreeper,13.8972978687,14870
Prunella montanella,Siberian Accentor,2.3543954089,
Perisoreus infaustus,Siberian Jay,5.7726030844,15430
Luscinia calliope,Siberian Rubythroat,6.3321053086,
Poecile cinctus,Siberian Tit,4.4727972658,14480
Chroicocephalus genei,Slender-billed Gull,17.4584264435,
Turnix sylvaticus,Small Buttonquail,20.7412371134,
Mergellus albellus,Smew,5.4834183449,
Plectrophenax nivalis,Snow Bunting,4.0448193326,18500
Bubo scandiaca,Snowy Owl,2.9123452331,07490
Chettusia gregaria,Sociable Lapwing,14.6349167051,
Poecile lugubris,Sombre Tit,15.1051015291,
Turdus philomelos,Song Thrush,11.3956704897,12000
Onychoprion fuscatus,Sooty Tern,17.3271685105,
Passer hispaniolensis,Spanish Sparrow,17.0620063651,
Sylvia conspicillata,Spectacled Warbler,16.9718230817,
Sturnus unicolor,Spotless Starling,16.5557443851,
Porzana porzana,Spotted Crake,12.4064941754,04080
Muscicapa striata,Spotted Flycatcher,12.1492223917,13350
Nucifraga caryocatactes,Spotted Nutcracker,10.7296126215,15570
Tringa erythropus,Spotted Redshank,4.7717132465,05450
Ardeola ralloides,Squacco Heron,15.9222826178,01080
Polysticta stelleri,Steller's Eider,0.9674603175,02090
Columba oenas,Stock Dove,12.4358174295,06680
Burhinus oedicnemus,Stone-curlew,15.8667631804,04590
Sylvia cantillans,Subalpine Warbler,16.4215435209,12650
Dendrocopos syriacus,Syrian Woodpecker,14.1598198356,
Strix aluco,Tawny Owl,12.8738657057,07610
Anthus campestris,Tawny Pipit,14.4289502352,10050
Calidris temminckii,Temminck's Stint,4.1715343485,05020
Aegolius funereus,Tengmalm's Owl,9.1005501486,07700
Xenus cinereus,Terek Sandpiper,10.5979751735,05550
Galerida theklae,Thekla Lark,16.8013107544,
Picoides tridactylus,Three-toed Woodpecker,7.9819685355,08980
Luscinia luscinia,Thrush Nightingale,11.8425102806,11030
Anthus trivialis,Tree Pipit,11.2439352645,10090
Columba trocaz,Trocaz Pigeon,16.2339285714,
Bucanetes githagineus,Trumpeter Finch,18.3578447768,
Aythya fuligula,Tufted Duck,10.1385920012,02030
Carduelis flavirostris,Twite,6.9462495294,16620
Loxia leucoptera,Two-barred Crossbill,6.0397762908,16650
Strix uralensis,Ural Owl,9.2297971248,07650
Melanitta fusca,Velvet Scoter,4.8133620389,02150
Tichodroma muraria,Wallcreeper,11.0821393827,
Anthus spinoletta,water pipit/rock pipit,11.6824589944,
Rallus aquaticus,Water Rail,13.3215188918,04070
Oenanthe hispanica,Western Black-eared Wheatear,16.605864604,
Phylloscopus bonelli,Western Bonelli's Warbler,13.8608600624,13070
Tetrao urogallus,Western Capercaillie,8.737084406,03350
Corvus monedula,Western Jackdaw,12.9581704982,15600
Circus aeruginosus,Western Marsh Harrier,13.2259231132,02600
Sitta neumayer,Western Rock-Nuthatch,16.4086393948,
Numenius phaeopus,Whimbrel,5.888322503,05380
Saxicola rubetra,Whinchat,11.2990488425,11370
